,PS_C,PS_F,Vainqueur,Proba_Favori,Proba_Challenger
14537,1.77,2.18,favori,0.41726506,0.58273494
14538,1.69,2.31,challenger,0.58102363,0.41897637
14539,3.56,1.34,favori,0.5172899,0.48271012
14540,4.23,1.27,favori,0.7425358,0.25746417
14541,2.23,1.74,challenger,0.662958,0.33704197
14542,2.44,1.63,favori,0.66313547,0.33686453
14543,19.52,1.02,favori,0.9455487,0.054451287
14544,20.0,1.03,favori,0.9559041,0.044095874
14545,7.24,1.13,favori,0.78547776,0.21452224
14546,3.11,1.42,favori,0.7261372,0.27386278
14547,2.99,1.45,challenger,0.50924057,0.49075943
14548,4.89,1.22,favori,0.77128005,0.22871995
14549,2.61,1.56,challenger,0.66816866,0.33183134
14550,12.25,1.06,favori,0.889492,0.110508025
14551,4.76,1.23,favori,0.6763365,0.32366347
14552,5.98,1.17,challenger,0.7618257,0.23817432
14553,8.95,1.1,favori,0.73830646,0.26169354
14554,4.1,1.28,favori,0.75618815,0.24381185
14555,8.91,1.09,favori,0.876753,0.12324703
14556,5.17,1.21,favori,0.8682362,0.13176382
14557,3.23,1.41,favori,0.6572104,0.3427896
14558,2.55,1.6,favori,0.5419934,0.45800662
14559,4.14,1.28,favori,0.691482,0.308518
14560,3.73,1.32,challenger,0.7185306,0.2814694
14561,3.27,1.39,favori,0.5311294,0.46887058
14562,7.38,1.13,favori,0.8894607,0.11053932
14563,4.14,1.28,favori,0.7513789,0.2486211
14564,4.01,1.3,favori,0.61327726,0.38672274
14565,3.36,1.39,favori,0.8798432,0.120156825
14566,3.41,1.38,favori,0.557988,0.442012
14567,8.6,1.11,favori,0.8553212,0.14467877
14568,3.27,1.4,favori,0.59352183,0.40647817
14569,3.79,1.32,favori,0.7766038,0.22339618
14570,1.67,2.37,challenger,0.3908633,0.6091367
14571,13.9,1.05,favori,0.9231157,0.07688433
14572,3.48,1.37,challenger,0.84772694,0.15227306
14573,6.68,1.15,favori,0.8468269,0.15317309
14574,3.41,1.37,favori,0.622776,0.37722403
14575,4.39,1.26,favori,0.85814327,0.14185673
14576,6.08,1.17,favori,0.77900374,0.22099626
14577,3.28,1.4,challenger,0.39488482,0.6051152
14578,2.43,1.64,challenger,0.5765821,0.42341793
14579,3.71,1.33,favori,0.7370203,0.2629797
14580,2.4,1.66,favori,0.6019271,0.3980729
14581,3.44,1.37,favori,0.75523365,0.24476635
14582,1.55,2.6,challenger,0.38117093,0.6188291
14583,1.9,1.99,challenger,0.56212354,0.43787646
14584,1.86,2.03,favori,0.46870655,0.53129345
14585,1.53,2.67,favori,0.44209522,0.5579048
14586,7.89,1.11,favori,0.81151843,0.18848157
14587,1.31,3.74,challenger,0.51407534,0.48592466
14588,3.21,1.39,favori,0.70934194,0.29065806
14589,4.74,1.22,favori,0.75037384,0.24962616
14590,2.38,1.65,challenger,0.5117275,0.4882725
14591,2.34,1.66,challenger,0.6245725,0.37542748
14592,1.32,3.7,favori,0.42734814,0.57265186
14593,5.5,1.18,favori,0.8215691,0.17843091
14594,3.0,1.44,challenger,0.7600864,0.23991358
14595,2.43,1.63,favori,0.6599159,0.34008408
14596,1.93,1.96,challenger,0.6486148,0.35138518
14597,2.01,1.89,favori,0.46392697,0.536073
14598,2.2,1.75,favori,0.68212414,0.31787586
14599,1.9,2.01,favori,0.5105477,0.4894523
14600,2.56,1.56,challenger,0.5200917,0.4799083
14601,1.52,2.68,challenger,0.31944048,0.6805595
14602,3.21,1.4,favori,0.54811823,0.45188177
14603,2.49,1.61,favori,0.6713268,0.32867318
14604,2.62,1.56,challenger,0.6549566,0.34504342
