,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
26312,1.78,2.17,favori,challenger,0.6074276,0.39257237
26313,5.54,1.19,favori,favori,0.10725957,0.8927404
26314,5.08,1.21,favori,favori,0.10788065,0.89211935
26315,4.65,1.24,favori,favori,0.1724329,0.8275671
26316,3.48,1.36,favori,favori,0.1320656,0.8679344
26317,4.5,1.25,favori,favori,0.13106894,0.86893106
26318,17.65,1.03,favori,favori,0.20974761,0.7902524
26319,1.78,2.17,favori,favori,0.3690005,0.6309995
26320,2.86,1.48,favori,favori,0.3029694,0.6970306
26321,27.22,1.01,challenger,favori,0.022186637,0.97781336
26322,12.02,1.06,favori,favori,0.1313011,0.8686989
26323,11.25,1.07,favori,favori,0.12397295,0.87602705
26324,6.9,1.14,favori,favori,0.0986917,0.9013083
26325,1.81,2.14,challenger,challenger,0.5806582,0.41934183
26326,2.71,1.54,favori,favori,0.44714582,0.5528542
26327,1.72,2.28,favori,favori,0.44532388,0.5546761
26328,6.97,1.14,favori,favori,0.18635803,0.81364197
26329,20.4,1.03,favori,favori,0.024463952,0.97553605
26330,2.56,1.59,challenger,challenger,0.5264111,0.47358888
26331,17.65,1.04,favori,favori,0.08877468,0.9112253
26332,1.56,2.65,challenger,challenger,0.5041644,0.4958356
26333,2.45,1.64,favori,favori,0.42938852,0.5706115
26334,5.65,1.19,favori,favori,0.14848554,0.85151446
26335,3.67,1.34,favori,favori,0.270922,0.729078
26336,5.13,1.21,favori,favori,0.24047107,0.75952893
26337,2.69,1.54,favori,favori,0.46574646,0.53425354
26338,5.29,1.2,favori,favori,0.1711384,0.8288616
26339,4.2,1.28,favori,favori,0.44918835,0.55081165
26340,3.62,1.34,challenger,favori,0.22646624,0.77353376
26341,1.74,2.25,challenger,favori,0.41305798,0.586942
26342,20.76,1.03,challenger,favori,0.044383585,0.9556164
26343,8.71,1.11,favori,favori,0.18945163,0.81054837
26344,4.84,1.23,favori,favori,0.19554245,0.80445755
26345,1.71,2.29,challenger,favori,0.4836828,0.5163172
26346,6.99,1.14,favori,favori,0.16745102,0.832549
26347,4.09,1.29,favori,favori,0.1593836,0.8406164
26348,1.43,3.1,challenger,favori,0.44707835,0.55292165
26349,2.25,1.74,favori,favori,0.4418068,0.5581932
26350,8.22,1.11,favori,favori,0.14125639,0.8587436
26351,1.63,2.46,challenger,challenger,0.57544935,0.42455065
26352,1.71,2.3,challenger,favori,0.3820808,0.6179192
26353,1.54,2.73,challenger,favori,0.44247162,0.5575284
26354,3.37,1.39,favori,favori,0.40470535,0.59529465
26355,2.25,1.75,challenger,favori,0.4202814,0.5797186
26356,5.03,1.2,favori,favori,0.45905346,0.54094654
26357,1.94,1.94,challenger,favori,0.3573104,0.6426896
26358,1.67,2.33,challenger,favori,0.44653827,0.55346173
26359,2.46,1.61,favori,favori,0.2744798,0.7255202
26360,2.74,1.51,favori,favori,0.47150487,0.52849513
26361,1.58,2.51,favori,challenger,0.59605974,0.40394026
26362,4.21,1.26,challenger,favori,0.31184936,0.68815064
26363,1.78,2.14,favori,favori,0.45468926,0.54531074
26364,2.06,1.84,favori,challenger,0.5539415,0.44605848
26365,2.8,1.49,challenger,favori,0.44015896,0.55984104
26366,6.29,1.15,favori,favori,0.18523872,0.8147613
26367,2.0,1.89,favori,favori,0.43139166,0.56860834
26368,2.56,1.56,favori,challenger,0.51006985,0.48993018
26369,2.02,1.88,favori,favori,0.45067936,0.54932064
26370,2.71,1.53,challenger,challenger,0.50738585,0.49261415
26371,4.54,1.24,challenger,favori,0.24168718,0.7583128
26372,11.82,1.06,favori,favori,0.1865598,0.8134402
26373,8.68,1.1,favori,favori,0.14615667,0.85384333
26374,9.58,1.09,favori,favori,0.15764934,0.84235066
26375,2.24,1.71,favori,favori,0.40462846,0.59537154
26376,3.5,1.34,challenger,favori,0.36570215,0.63429785
26377,1.54,2.62,challenger,favori,0.43085462,0.5691454
26378,3.29,1.39,favori,favori,0.3304783,0.6695217
26379,3.56,1.34,favori,favori,0.27938515,0.72061485
26380,3.06,1.43,favori,favori,0.4818266,0.5181734
26381,1.94,1.96,favori,challenger,0.52015203,0.47984797
26382,6.34,1.15,challenger,favori,0.19441926,0.80558074
26383,5.68,1.18,favori,favori,0.122942924,0.8770571
26384,5.39,1.19,favori,favori,0.1775667,0.8224333
