,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
12991,2.25,1.74,favori,favori,0.36992037,0.6300796
12992,4.9,1.22,favori,favori,0.09936029,0.9006397
12993,2.24,1.74,challenger,favori,0.1766324,0.8233676
12994,4.24,1.28,favori,favori,0.25371546,0.74628454
12995,2.14,1.81,favori,favori,0.4183781,0.5816219
12996,7.58,1.13,favori,favori,0.16851562,0.8314844
12997,6.08,1.17,favori,favori,0.31110674,0.68889326
12998,4.68,1.24,favori,favori,0.21754241,0.7824576
12999,3.8,1.33,favori,favori,0.24367487,0.7563251
13000,1.7,2.31,favori,favori,0.30595672,0.6940433
13001,3.4,1.38,favori,favori,0.38639694,0.61360306
13002,7.03,1.15,challenger,favori,0.21233338,0.7876666
13003,3.39,1.39,favori,favori,0.3852476,0.6147524
13004,5.01,1.22,favori,favori,0.29919106,0.70080894
13005,3.07,1.43,favori,favori,0.28501105,0.71498895
13006,6.46,1.16,favori,favori,0.14413887,0.8558611
13007,3.01,1.46,challenger,favori,0.21755928,0.7824407
13008,1.68,2.34,favori,favori,0.4282146,0.5717854
13009,5.15,1.22,favori,favori,0.17710161,0.8228984
13010,2.88,1.49,favori,favori,0.4790566,0.5209434
13011,1.82,2.13,challenger,challenger,0.5890446,0.41095543
13012,2.53,1.6,challenger,favori,0.4416436,0.5583564
13013,3.19,1.42,favori,challenger,0.57324576,0.42675424
13014,2.31,1.7,favori,favori,0.33225048,0.6677495
13015,3.24,1.41,favori,favori,0.22908497,0.77091503
13016,4.38,1.26,favori,favori,0.19183975,0.80816025
13017,1.91,2.02,challenger,favori,0.45902532,0.5409747
13018,2.75,1.4,favori,favori,0.27641177,0.7235882
13019,1.43,3.11,favori,challenger,0.55125606,0.44874397
13020,5.54,1.19,challenger,favori,0.13541466,0.86458534
13021,2.77,1.52,challenger,favori,0.45769703,0.54230297
13022,1.69,2.35,challenger,challenger,0.5800773,0.4199227
13023,3.53,1.36,favori,favori,0.2729864,0.7270136
13024,1.76,2.22,favori,favori,0.32546365,0.67453635
13025,5.38,1.2,challenger,favori,0.16348511,0.8365149
13026,2.34,1.69,favori,favori,0.41027087,0.58972913
13027,6.69,1.15,favori,favori,0.13393503,0.86606497
13028,3.62,1.34,favori,favori,0.13336581,0.8666342
13029,4.72,1.24,challenger,favori,0.2008248,0.7991752
13030,7.79,1.13,favori,favori,0.090277076,0.9097229
13031,3.01,1.45,favori,favori,0.290376,0.709624
13032,2.25,1.74,challenger,favori,0.37854916,0.62145084
13033,1.69,2.32,challenger,challenger,0.58580494,0.41419503
13034,5.8,1.18,favori,favori,0.31609917,0.68390083
13035,3.42,1.38,favori,favori,0.4473229,0.5526771
13036,2.86,1.48,favori,favori,0.47642374,0.52357626
13037,2.77,1.52,challenger,challenger,0.53898585,0.46101415
13038,4.72,1.25,favori,favori,0.13515759,0.8648424
13039,3.45,1.36,challenger,favori,0.30839998,0.6916
13040,3.67,1.34,favori,favori,0.29985052,0.7001495
13041,1.45,3.01,challenger,challenger,0.5033395,0.4966605
13042,1.59,2.56,favori,favori,0.4504103,0.5495897
13043,5.53,1.19,favori,favori,0.1284442,0.8715558
13044,1.93,1.99,challenger,challenger,0.6015252,0.39847478
13045,1.49,2.89,challenger,favori,0.29459184,0.70540816
13046,2.27,1.72,challenger,favori,0.32039642,0.6796036
13047,2.21,1.76,challenger,favori,0.2549793,0.7450207
13048,12.25,1.07,favori,favori,0.07315236,0.92684764
13049,21.0,1.03,favori,favori,0.11571896,0.88428104
13050,1.69,2.34,challenger,favori,0.36216164,0.63783836
13051,41.0,1.02,favori,favori,0.08068973,0.9193103
13052,2.78,1.51,challenger,favori,0.47487795,0.52512205
13053,3.91,1.31,favori,favori,0.17244232,0.8275577
13054,3.54,1.35,favori,favori,0.19256824,0.80743176
13055,2.97,1.48,favori,favori,0.13442814,0.86557186
13056,5.3,1.2,favori,favori,0.18912894,0.81087106
13057,2.54,1.6,challenger,challenger,0.5545726,0.44542745
13058,1.44,3.07,challenger,challenger,0.57585436,0.42414564
13059,17.0,1.03,favori,favori,0.15314734,0.84685266
13060,1.44,3.04,challenger,challenger,0.66090566,0.33909434
13061,16.5,1.04,favori,favori,0.10905784,0.89094216
13062,1.83,2.11,challenger,favori,0.3525378,0.6474622
13063,7.29,1.12,favori,favori,0.15059227,0.84940773
13064,1.65,2.41,favori,favori,0.40068436,0.59931564
13065,1.87,2.06,challenger,favori,0.477239,0.522761
13066,2.65,1.56,favori,favori,0.37646097,0.62353903
13067,3.79,1.32,challenger,favori,0.30950505,0.69049495
13068,1.82,2.12,challenger,favori,0.44260895,0.55739105
13069,4.43,1.26,favori,favori,0.2671653,0.7328347
13070,3.01,1.45,favori,favori,0.32738882,0.6726112
13071,1.55,2.66,favori,favori,0.4120801,0.5879199
13072,5.05,1.23,favori,favori,0.35887045,0.64112955
13073,2.56,1.59,favori,favori,0.43137264,0.56862736
13074,5.96,1.18,favori,favori,0.25501806,0.74498194
13075,2.58,1.58,favori,favori,0.31312495,0.68687505
13076,1.46,2.97,challenger,favori,0.47370398,0.526296
13077,2.46,1.64,challenger,challenger,0.54217994,0.4578201
13078,3.73,1.34,favori,favori,0.409612,0.590388
13079,1.2,5.49,challenger,challenger,0.6546392,0.34536082
13080,1.29,4.19,favori,challenger,0.6365196,0.3634804
13081,2.04,1.88,favori,favori,0.36703062,0.6329694
13082,2.99,1.46,favori,favori,0.4494012,0.5505988
13083,2.14,1.81,favori,favori,0.33407354,0.66592646
13084,1.43,3.12,challenger,challenger,0.549164,0.450836
13085,7.9,1.13,favori,favori,0.24883193,0.7511681
13086,5.37,1.2,favori,favori,0.17006457,0.82993543
13087,4.35,1.27,favori,favori,0.25260115,0.74739885
