,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
28034,4.34,1.26,challenger,favori,0.23645478,0.7635452
28035,3.24,1.4,challenger,favori,0.23373806,0.76626194
28036,8.36,1.11,favori,favori,0.124084294,0.8759157
28037,3.13,1.42,challenger,favori,0.31008893,0.68991107
28038,1.47,2.93,challenger,challenger,0.60391355,0.39608642
28039,2.14,1.79,favori,favori,0.48387855,0.51612145
28040,3.08,1.43,favori,favori,0.27439088,0.7256091
28041,5.31,1.2,favori,favori,0.1792481,0.8207519
28042,3.18,1.41,challenger,favori,0.338,0.662
28043,2.09,1.83,favori,favori,0.28675556,0.71324444
28044,3.17,1.42,favori,favori,0.31506163,0.6849384
28045,2.7,1.54,favori,favori,0.25216913,0.74783087
28046,10.55,1.08,favori,favori,0.12803215,0.87196785
28047,2.9,1.48,favori,favori,0.25421357,0.7457864
28048,4.05,1.29,favori,favori,0.2612517,0.7387483
28049,23.85,1.02,favori,favori,0.035027623,0.9649724
28050,4.87,1.23,challenger,favori,0.18368691,0.8163131
28051,11.47,1.07,favori,favori,0.07696813,0.92303187
28052,2.14,1.81,favori,challenger,0.5382251,0.4617749
28053,2.05,1.88,challenger,challenger,0.55966043,0.44033957
28054,3.41,1.38,favori,favori,0.2910862,0.7089138
28055,3.5,1.36,favori,favori,0.23583561,0.7641644
28056,3.83,1.32,challenger,favori,0.36827755,0.63172245
28057,1.38,3.36,challenger,challenger,0.6144999,0.38550004
28058,4.93,1.22,favori,favori,0.059039414,0.9409606
28059,1.97,1.95,favori,favori,0.27172816,0.72827184
28060,2.12,1.83,challenger,favori,0.47192,0.52808
28061,7.65,1.13,favori,favori,0.25725943,0.7427406
28062,2.81,1.51,favori,favori,0.37946272,0.6205373
28063,6.54,1.15,favori,favori,0.072723985,0.927276
28064,2.87,1.49,challenger,favori,0.2978285,0.7021715
28065,1.85,2.08,challenger,favori,0.4459514,0.5540486
28066,9.88,1.08,favori,favori,0.06472862,0.9352714
28067,2.87,1.49,favori,favori,0.42805403,0.57194597
28068,9.25,1.1,favori,favori,0.07101613,0.92898387
28069,2.16,1.79,challenger,challenger,0.5441245,0.45587555
28070,5.26,1.21,challenger,favori,0.112057626,0.8879424
28071,1.44,3.1,challenger,challenger,0.566282,0.43371803
28072,3.55,1.36,favori,favori,0.21749789,0.7825021
28073,7.03,1.15,favori,favori,0.17998606,0.82001394
28074,1.65,2.36,challenger,challenger,0.59137917,0.40862086
28075,1.43,3.05,challenger,challenger,0.56405735,0.43594268
28076,3.62,1.33,favori,favori,0.43043715,0.56956285
28077,2.67,1.53,favori,challenger,0.5756694,0.42433062
28078,1.67,2.33,favori,challenger,0.53665835,0.46334165
28079,2.4,1.63,favori,favori,0.28652203,0.71347797
28080,1.54,2.62,challenger,challenger,0.65129507,0.34870493
28081,5.14,1.2,challenger,favori,0.22700828,0.7729917
28082,3.09,1.42,challenger,favori,0.49466074,0.50533926
28083,2.62,1.54,favori,challenger,0.55114114,0.44885886
28084,3.7,1.32,challenger,favori,0.337534,0.662466
28085,2.94,1.45,favori,favori,0.4059046,0.5940954
28086,2.22,1.73,favori,favori,0.37483037,0.62516963
28087,1.71,2.24,favori,challenger,0.551403,0.448597
28088,1.87,2.02,favori,favori,0.48196077,0.5180392
28089,1.65,2.37,favori,challenger,0.6028892,0.39711085
28090,2.07,1.85,favori,favori,0.44781744,0.55218256
28091,3.89,1.29,challenger,favori,0.3331864,0.6668136
28092,1.87,2.02,favori,favori,0.3436246,0.6563754
28093,4.38,1.26,challenger,favori,0.17437428,0.8256257
