,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8407,1.633,2.4,favori,challenger,0.5595279416869142,0.4404720583130857
8408,1.781,2.12,challenger,favori,0.4552306300874284,0.5447693699125716
8410,1.23,4.5,favori,favori,0.287900612171408,0.7120993878285921
8411,3.4,1.357,favori,favori,0.16276041666666666,0.8372395833333334
8412,1.526,2.7,challenger,favori,0.15873015873015872,0.8412698412698413
8413,1.345,3.45,favori,favori,0.16276041666666666,0.8372395833333334
8414,1.658,2.34,favori,favori,0.15873015873015872,0.8412698412698413
8415,1.909,1.943,challenger,favori,0.39772357723577234,0.6022764227642277
8416,1.182,5.25,favori,favori,0.4552306300874284,0.5447693699125716
8417,1.862,2.0,challenger,challenger,0.5595279416869142,0.4404720583130857
8418,1.901,1.952,favori,favori,0.3678516228748068,0.6321483771251932
8419,1.294,3.9,favori,favori,0.39772357723577234,0.6022764227642277
8420,1.345,3.45,favori,favori,0.39772357723577234,0.6022764227642277
8421,1.256,4.25,challenger,favori,0.16276041666666666,0.8372395833333334
8422,2.1,1.794,favori,favori,0.16276041666666666,0.8372395833333334
8423,1.602,2.48,challenger,favori,0.287900612171408,0.7120993878285921
8424,1.513,2.72,favori,favori,0.47556142668428003,0.52443857331572
8425,1.602,2.48,favori,favori,0.39772357723577234,0.6022764227642277
8426,2.43,1.621,favori,favori,0.4552306300874284,0.5447693699125716
